cleaned_text,label,keyword_tag,is_profanity,is_insult,is_hate_speech,is_toxic
akp'ye gönül veren amcada iman power'i var 😂,0.0,TEKMELER KÜFÜRLER HAVADA UÇUŞTU,0,0,0,0
şaka mı ln bu puhajaajja,0.0,Deep Humor Karma Röportaj Serisi (Vol22),0,0,0,0
taş üstünde taş bırakmayacağız,,,0,1,1,1
sen abdülhamidi savundun savunmadım savundun,0.0,Canlı Yayında Cam Masayı Kırdılar!,0,0,0,0
korkak bunlar vallahi yuzunde n bellı😂😂😂,0.0,Trafikte tartıştığı araca tekme ve yumrukla saldırdı #shorts #trafik #keşfet,0,0,0,0
BU MILLETE IHANET EDENLER BEDEL ÖDEYECEK,,,0,1,1,1
işte bu sebeplerden dolayı video'nun fake olduğunu düşünüyorum. evimin önü dediği yerin 10 metre ilerisinde silahla kovalıyo adam. hiçbir şey olmamış gibi aynı yere geri gidiyo falan çok saçma hareketler,0.0,Armed Attack on Live Broadcast! The Incident That Hit Türkiye's News!,1,0,0,1
"tamam şu an olan ne, gerçek ne???",0.0,Trafikte tartıştığı araca tekme ve yumrukla saldırdı #shorts #trafik #keşfet,1,0,0,1
vurmiyacaksin. suclusun bitti!,0.0,Marmaray’daki Yumruklu Saldırı Zanlısı Serbest Bırakıldı! O Yumruğu Neden Attı?,0,1,0,1
almanya bitmis diyorlar dogrumu kardas,0.0,TÜRKİYE'DE YAŞANAN TRAFİK KAVGALARI VE KAZALARI! #4 | Sokak Kavgaları 2023,0,1,0,1
sefo da da bi yumuşaklık var gibi,0.0,Sefo ve Çakal Gece Kulübünde Kavga Ettiler,0,0,0,0
hepiniz sizi denize dökeceğiz,,,0,1,1,1
tır ve karavan gibi araçlar sağ şeridi kullanmak zorundadır..,0.0,TÜRKİYE'DE YAŞANAN TRAFİK KAVGALARI VE KAZALARI! #4 | Sokak Kavgaları 2023,1,0,0,1
2026 faizleri ni dengelemek icin hem halk hemde esnaf zarar görmemesi icin 🎉zamlaŕi en az sekilde yaparak oran tiyi kurulur çünku halkin az ödeyerek bunalmaz esnafta az karla zarar etmemis olur insanlar rahat eder busekilde duzen saglanmis olur kimse zorda ve zararda olmaz,0.0,Meclis'te Yumruklu Kavga! AK Parti ve CHP'li Vekiller Birbirine Girdi - TGRT Haber,1,0,0,1
mert hakan havlamaktan bıkmadımı kemiğinide verdik ama,0.0,"🔥 ÖZEL HABER. Fenerbahçe SEVİNÇ,  Galatasaray ÜZÜNTÜ. Küfürler ve Mert Hakan Yandaş'ın SÖYLEMLERİ.",0,0,0,0
siyah montlu düşüncesinde haklı ama çok sert ve küfürlü konuşup haksız duruma düştü,0.0,TEKMELER KÜFÜRLER HAVADA UÇUŞTU,0,0,0,0
kes sesini çakal,,,0,1,0,1
Allah'ın lanu,,,1,1,0,1
sus be salak,,,0,1,0,1
