cleaned_text,label,keyword_tag
iyi havlıyor lavuk,0,Basına SALDIRI !  #sokakröportajları
cezasızlıktan cesaret alan bi tane ..... daha,0,Basına SALDIRI !  #sokakröportajları
anlasılan saraydan geçinen bir adinin son çırpınışları bunlar.,0,Basına SALDIRI !  #sokakröportajları
eskiden benim köpeğim vardı aynı bu it gibi kimse kemik atmadan saldırıyordu,0,Basına SALDIRI !  #sokakröportajları
son çırpınışları,0,Basına SALDIRI !  #sokakröportajları
böyle sataşması için emir almıştır! acaba kaç para aldı?,0,Basına SALDIRI !  #sokakröportajları
kuduz akitrol.,0,Basına SALDIRI !  #sokakröportajları
tipik bir ak trolll koddd kafa erol sabrına hayranım tebrik ediyorum 👏👏👏,0,Basına SALDIRI !  #sokakröportajları
garibanım ben kimseye sormuyorum durumunu diyor. yani ben köpeğim sende köpek ol diyor 😊,0,Basına SALDIRI !  #sokakröportajları
omuz atan küçükken inşaata topu kaçmış ve bozulmuş,0,Basına SALDIRI !  #sokakröportajları
o saraydan tatlı kazık yıyo. o yüzden bu muhalıf basına sancılı.,0,Basına SALDIRI !  #sokakröportajları
şiveden belli alamancı 😅,0,Basına SALDIRI !  #sokakröportajları
bu insanlar zorbalık ile ne elde edeceklerini sanıyorlar? bazıları böyle haince sataşıyor! ınsanlar sanki zorla konuşturuluyor! ama kendileri zorla susturmaya çalışıyorlar.,0,Basına SALDIRI !  #sokakröportajları
o omuz atanın konuşmasından belli alamancı olduğu. 🤬🤬🤬,0,Basına SALDIRI !  #sokakröportajları
almancı çocuk belli.,0,Basına SALDIRI !  #sokakröportajları
artis şımarık,0,Basına SALDIRI !  #sokakröportajları
delısı bol bır ulke😊,0,Basına SALDIRI !  #sokakröportajları
valla sağ görüşlüyüm ancak ne olursa olsun insanlık dışı görüşü seninle aynı olmak zorunda değil kardeşim adam haberini yapıyor görüşünü belirtiyor sağcı ve solcu bazı azmanlar var böyle,0,Basına SALDIRI !  #sokakröportajları
saraydan para alıyor pcin evladi gt olanı,0,Basına SALDIRI !  #sokakröportajları
muhabire saldıran o ç,0,Basına SALDIRI !  #sokakröportajları
ya bi sg,0,Basına SALDIRI !  #sokakröportajları
sizlermi türkiyeyi kurtaracaksiniz neyle yoksa heykellerimi satacaksiniz 😂😂😂,0,Basına SALDIRI !  #sokakröportajları
​ -ws5yi satilacak birsey kaldimi 😂,0,Basına SALDIRI !  #sokakröportajları
​ -ws5yi sen hangi dünyadasın? sen mi kurtaracaksın vatandaşları?,0,Basına SALDIRI !  #sokakröportajları
"​ -ws5yi tayyit, din ile ülkenin kalkınacağına inanıyor. bilim, tayyit'in karakterine ters.",0,Basına SALDIRI !  #sokakröportajları
kimin?,0,Basına SALDIRI !  #sokakröportajları
makarna 😊,0,Basına SALDIRI !  #sokakröportajları
chp vermistir onlar alisik😂,0,Basına SALDIRI !  #sokakröportajları
"ılginc bir hale geldik.. işimize gelmedi danışıklı dövüş veya kendi adamı,eğer işimize geldi mi yok böyleyiz yok şöyleyiz",0,Basına SALDIRI !  #sokakröportajları
kendi adamı,0,Basına SALDIRI !  #sokakröportajları
hastir mal,0,Basına SALDIRI !  #sokakröportajları
özgür ülkedeyiz özgürlük budur işte insanın canı ne isterse yapmasıdır özgürlük istemiyormuydunuz alın size özgürlük,0,Basına SALDIRI !  #sokakröportajları
"​ özgürlük, isteyen istedìğine sataşır demek mi? ormanda mı yaşıyoruz? ınsanların içinde mi?",0,Basına SALDIRI !  #sokakröportajları
"​ batu kim ""saldırma özgürlüğü"" diye bir şey istedi ha yavrum?",0,Basına SALDIRI !  #sokakröportajları
"​ da var arkadaşım benim özgürlük demek diğer insanların özgürlüğünü kısıtlamadan istediğini yapmak demek. örneğin senin kendini bademlettirmen bir özgürlük ama başkasını zorla götürmeye çalışman, özgürlük değil😂",0,Basına SALDIRI !  #sokakröportajları
dizinkiletde baklava kutusunda goturuyorlzr yaram,0,Basına SALDIRI !  #sokakröportajları
​ ne demek istiyorsun?,0,Basına SALDIRI !  #sokakröportajları
sende onu kıskanıyorsun işte,0,Basına SALDIRI !  #sokakröportajları
tipi de benziyor zaten ama avcılar da oturuyorum dedi,0,Basına SALDIRI !  #sokakröportajları
inanın bende öyle hissettim 😅 tipi benziyor ama avcılar da oturuyorum dedi bilmiyorum,0,Basına SALDIRI !  #sokakröportajları
seviniyor musun buna,0,Basına SALDIRI !  #sokakröportajları
numara yapıyorlar birader.,0,Basına SALDIRI !  #sokakröportajları
polisi keyfi çağırırsan numarayı görürsün. yalan ihbar yapamazsın. başka bir cinayet olsa aynı anda senin blog vlog videon yüzünden işini bırakmış olacak.,0,Basına SALDIRI !  #sokakröportajları
kesin almanci oe,0,Basına SALDIRI !  #sokakröportajları
almanya'dan geliyorsan orda görüşelim,0,Basına SALDIRI !  #sokakröportajları
gurbetçi sarayın sevicisi biri,0,Basına SALDIRI !  #sokakröportajları
gurbetci olabilir,0,Basına SALDIRI !  #sokakröportajları
havlıyan beyaz t-shirtlü sazan !!!😡 kaç tl adi troll,0,Basına SALDIRI !  #sokakröportajları
troll: kaç para almış acaba böyle tavırlar yapıyor hava atıyor millete vatana,0,Basına SALDIRI !  #sokakröportajları
röportajların devamı sayenizde gerçekleşiyor beğeni & yorumlarınızı bekliyorum.,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
bunların hepsi öküz mü yahu ???,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
"adamın suratından cahillik akıyor, bununla ne röportaj yapıyorsun",0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
her millet layık olduğu şekilde yönetilir,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
bu gerizekalılara bir şey anlatamazsın bunlar gözlerinin önünde gerçekleşen olayı bile inkar edecek kadar utanmazlar 30 sene önceki teknoloji kaynaklı hastanelerde ki kuyrukları bile bugünle kıyaslayacak kadar aptallar!30 sene önce sanki internetten randevu alınıyordu da millet keyfinden hastaneye bizzat gidiyordu.,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
kendisine bunu reva görüyor. daha iyisini istemeyi bilmiyor.,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
sayın cumhurbaşkanım ekrem imamoğlu o kadar,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
baştaki lavuk ne anlatıyor anlattina kendi inaniyormu cahillik diz boyuuuu😮😮😮böyle lavuklar yüzünden ülkemiz ne hale geldi vay güzel ülkem vayyyy😢,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
küllahlı bıyıklı abim ne anlatıyon ya😂😂😂😂,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
iyi yayınlar 🎬🎬,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
tuzu kokuşmuşlar akıllanmaz 🕊️🕊️🕊️🕊️🕊️🕊️🕊️,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
"sokak röportajcılarına troll diyenler ulan hiçmi röportaj izlemiyorsunuz z dayı ayhan erol abi hasan köksoy arif kocabıyık zasparagas tv vs ismini saymadığım bu kişiler parti gözetmeksizin halkın her kesiminin esnaf işçi memur öğrenci emekçi mağdur kişilerin sorununu dillendiriyor mikrofon uzatıyor sizin sesinizi sadece onlar dile getiriyor ve mikrofon uzatırken ak partilimisin mhpli misin hdplimisin ayrımı yok herkesi konuşturuyorlar,halada muhabire muhalif diyerek kimi neyi savunuyorsunuz bu küllahlı abi gibiler tam mal ne diyeyim",0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
senı sevıyoruz . başarılarının devamını dılıyoruz abıcım . ınsallah daha ıyı yerlere gelırsın❤❤,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
"akp den önce en düşük emekli maaşı , asgari ücretin 1, 5 katı idi. asgari ücrette açlık sınırıaltı değildi.",0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
sorun cahillikte değil beyinde,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
müstehak!!,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
harika bir çekim olmuş,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
salaklar şimdide randevu bekliyorsun,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
destek 🎤🎤,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
"cehaleti yok etmek ,bir mikroptan daha gerekli mecburi",0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
uzayda n selam la r... 👏,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
adamın sıfatında hayır yok töbe töbe yaaa 😂😂😂😂,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
sefil adam 25 yil oncesini referans gosterecegine ulkelerin buyume hizina bak,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
"​ -t6t8q ama doğru söylüyor adam! eskiden insanlar yakınlarının ölüsünü alamazdı, artık adı sadece hastane, hastaları resmen saraylarda yaşatıyorlar!",0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
yaşasın ülkücü mansur ekmel.ddin gelecek .,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
akp den önceki en düşük emekli maaşı bu günkü alım gücü 80 bin tl ye denk geliyor.,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
"en acısıda külahlı ile bizlerin ynı atmosferi soluması, aynı haklara sahip olması.",0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
"ben kötülemek için yazmıyorum 2025 ekim' aylarında hastaneye gittim doktor mr istedi , radyoloji 'de randevu verdiler 30 aralık 'a vermişlerdi en az 2 ay bu gene iyi bazı mr 6 ay sonraya veriyorlar başımdan geçeni yazdım kötülemek için yazmadım",0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
❤❤❤❤❤❤❤,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
iyiki japonya’da yaşıyorum,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
destek icin..,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
allah belanı versin senin hastaneler berbat yüzüne bile bakmıyorlar hasta kabulünde çalışanların ukalaligi almış başını gitmiş,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
şu suratta bir damla nur varmı tövbe tövbe ya sabır bla bla bla,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
abılayı iyi dilesinler,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
bastaki sapkali onceden hastaneye para veriyorduk diyor koca yalan asil simdi git ozel hastaneye gor paran yetermi kredi ceker artik,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
esenlikler,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
"tesekkürler, emeginize saglik erol bey 😊",0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
destek,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
tek yol devrim,0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları
